ID_Company;Company;País de Origen;Fundada en Año;Categoría de Productos;Sistema Operativo Predeterminado
1;Acer;Taiwán;1976;Computadoras, Monitores;Windows
2;Apple;Estados Unidos;1976;Electrónica, Computadoras, Móviles;macOS, iOS
3;Asus;Taiwán;1989;Computadoras, Electrónica;Windows
4;Chuwi;China;2004;Computadoras, Tablets;Windows, Android
5;Dell;Estados Unidos;1984;Computadoras, Servidores;Windows
6;HP;Estados Unidos;1939;Computadoras, Impresoras;Windows
7;Lenovo;China;1984;Computadoras, Electrónica;Windows
8;MSI;Taiwán;1986;Computadoras de Gaming, Electrónica;Windows
9;Razer;Estados Unidos;2005;Periféricos, Computadoras de Gaming;Windows, Linux
